REF_AREA: Reference area,TIME_PERIOD: Time period,OBS_VALUE,CLIMATE_HAZARDS
Japan,2002,-0.144614682,drought
Japan,2003,1.2741864,drought
Japan,2003,1.081696749,drought
Japan,2004,0.39090503,drought
Japan,2004,0.657573965,drought
Japan,2005,-1.215286118,drought
Japan,2005,-1.338655791,drought
Japan,2006,0.592052747,drought
Japan,2006,0.461025983,drought
Japan,2007,-0.911456857,drought
Japan,2007,-0.806428604,drought
Japan,2008,0.097799044,drought
Japan,2008,0.212133451,drought
Japan,2009,0.898748997,drought
Japan,2009,0.818234569,drought
Japan,2010,1.247996087,drought
Japan,2010,1.066574231,drought
Japan,2011,0.507057969,drought
Japan,2011,0.46289515,drought
Japan,2012,-0.307771082,drought
Japan,2012,-0.323292422,drought
Japan,2013,-0.870104545,drought
Japan,2013,-0.870668897,drought
Japan,2014,0.802354667,drought
Japan,2014,0.759177568,drought
Japan,2015,0.356642938,drought
Japan,2015,0.433355122,drought
Japan,2016,1.563428727,drought
Japan,2016,1.495099376,drought
Japan,2017,0.569250541,drought
Japan,2017,0.487500408,drought
Japan,2018,0.090429592,drought
Japan,2018,0.039600241,drought
Japan,2019,0.013328031,drought
Japan,2019,0.134281203,drought
Japan,2020,0.847941178,drought
Japan,2020,0.899166086,drought
Korea,2001,-3.77176526,drought
Korea,2001,-3.571429775,drought
Korea,2002,2.022780763,drought
Korea,2002,2.288810826,drought
Korea,2003,3.267405242,drought
Korea,2003,3.531666617,drought
Korea,2004,-3.757260878,drought
Korea,2004,-4.012058597,drought
Korea,2005,-1.779208678,drought
Korea,2005,-2.049268296,drought
Korea,2006,-1.64323042,drought
Korea,2006,-1.887604342,drought
Korea,2007,0.106303115,drought
Korea,2007,-0.194149297,drought
Korea,2008,-4.71760572,drought
Korea,2008,-4.90795346,drought
Korea,2009,-4.873917193,drought
Korea,2009,-5.606115404,drought
Korea,2010,1.15205599,drought
Korea,2010,1.094988884,drought
Korea,2011,0.592910135,drought
Korea,2011,0.395715807,drought
Korea,2012,0.107003881,drought
Korea,2012,0.188535025,drought
Korea,2013,0.979922538,drought
Korea,2013,0.910532755,drought
Korea,2014,-0.822166991,drought
